,Unnamed: 0,DATA NUMBER,YEAR,MONTH,DAY,HOUR,TYPHOON NUMBER,TYPHOON NAME,CLASS,LAT,LON,CENTRAL PRESSURE,MAX WINDSPEED,50KT MAJORAXIS DIRECTION,50KT MAJORAXIS,50KT MINORAXIS,30KT MAJORAXIS DIRECTION,30KT MAJORAXIS,30KT MINORAXIS,LANDING,Datetime,unixtime
0,0,0,2014,1,15,0,1401,LINGLING,2,9.6,129.2,1006,0,0,0,0,0,0,0,0,2014-01-15 00:00:00,1389744000
1,1,1,2014,1,15,6,1401,LINGLING,2,9.6,129.2,1004,0,0,0,0,0,0,0,0,2014-01-15 06:00:00,1389765600
2,2,2,2014,1,15,12,1401,LINGLING,2,9.7,129.0,1008,0,0,0,0,0,0,0,0,2014-01-15 12:00:00,1389787200
3,3,3,2014,1,15,18,1401,LINGLING,2,9.8,128.9,1006,0,0,0,0,0,0,0,0,2014-01-15 18:00:00,1389808800
4,4,4,2014,1,16,0,1401,LINGLING,2,9.8,128.8,1008,0,0,0,0,0,0,0,0,2014-01-16 00:00:00,1389830400
5,5,5,2014,1,16,6,1401,LINGLING,2,9.7,128.6,1004,0,0,0,0,0,0,0,0,2014-01-16 06:00:00,1389852000
6,6,6,2014,1,16,12,1401,LINGLING,2,9.5,128.5,1004,0,0,0,0,0,0,0,0,2014-01-16 12:00:00,1389873600
7,7,7,2014,1,16,18,1401,LINGLING,2,9.3,128.3,1004,0,0,0,0,0,0,0,0,2014-01-16 18:00:00,1389895200
8,8,8,2014,1,17,0,1401,LINGLING,2,9.3,128.3,1004,0,0,0,0,0,0,0,0,2014-01-17 00:00:00,1389916800
9,9,9,2014,1,17,6,1401,LINGLING,2,9.7,127.9,1002,0,0,0,0,0,0,0,0,2014-01-17 06:00:00,1389938400
10,10,10,2014,1,17,12,1401,LINGLING,2,9.7,127.4,1006,0,0,0,0,0,0,0,0,2014-01-17 12:00:00,1389960000
11,11,11,2014,1,17,18,1401,LINGLING,2,9.7,127.4,1006,0,0,0,0,0,0,0,0,2014-01-17 18:00:00,1389981600
12,12,12,2014,1,18,0,1401,LINGLING,3,9.7,127.4,1004,35,0,0,0,7,150,90,0,2014-01-18 00:00:00,1390003200
13,13,13,2014,1,18,6,1401,LINGLING,3,9.7,127.4,1002,35,0,0,0,7,150,90,0,2014-01-18 06:00:00,1390024800
14,14,14,2014,1,18,12,1401,LINGLING,3,9.7,127.4,1004,35,0,0,0,7,150,90,0,2014-01-18 12:00:00,1390046400
15,15,15,2014,1,18,18,1401,LINGLING,3,9.4,127.4,1004,35,0,0,0,7,150,90,0,2014-01-18 18:00:00,1390068000
16,16,16,2014,1,19,0,1401,LINGLING,3,9.2,127.5,1006,35,0,0,0,7,150,90,0,2014-01-19 00:00:00,1390089600
17,17,17,2014,1,19,6,1401,LINGLING,3,9.0,127.5,1004,35,0,0,0,7,150,90,0,2014-01-19 06:00:00,1390111200
18,18,18,2014,1,19,12,1401,LINGLING,3,8.7,127.7,1006,35,0,0,0,7,200,90,0,2014-01-19 12:00:00,1390132800
19,19,19,2014,1,19,18,1401,LINGLING,3,8.2,127.8,1006,35,0,0,0,7,200,90,0,2014-01-19 18:00:00,1390154400
20,20,20,2014,1,20,0,1401,LINGLING,2,7.2,128.3,1008,0,0,0,0,0,0,0,0,2014-01-20 00:00:00,1390176000
21,21,21,2014,1,20,6,1401,LINGLING,2,6.3,129.0,1004,0,0,0,0,0,0,0,0,2014-01-20 06:00:00,1390197600
22,22,22,2014,1,29,0,1402,KAJIKI,2,9.5,143.1,1004,0,0,0,0,0,0,0,0,2014-01-29 00:00:00,1390953600
